Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2010-01-04,73.7787857055664,74.06844160810837,72.88753814245341,73.07135584082684,6438444
2010-01-05,72.8875503540039,73.44458239692564,72.4697763218126,73.34988410463494,7156104
2010-01-06,72.4140853881836,73.24406363859217,72.30825159235305,72.79286529027222,5863144
2010-01-07,72.16343688964844,72.55335679523058,71.80693678512843,72.34168471925607,6109268
2010-01-08,72.8875503540039,72.92654010763867,71.88489445486603,71.89603438447597,4390271
2010-01-11,72.12442779541016,73.00453571878269,71.67323390233496,73.00453571878269,5993998
2010-01-12,72.69818115234375,73.1549495275918,71.85706285776784,71.87377720275954,8453249
2010-01-13,72.54222106933594,73.03797926431406,71.94619902005086,72.63134498930937,6752348
2010-01-14,73.70082092285156,73.92363287154453,72.36394478539023,72.72044479235969,7438943
2010-01-15,73.40560150146484,74.02390771460149,73.0212516337498,73.54485953743335,8885142
2010-01-19,74.72016143798828,74.78143547735489,73.28301760767575,73.32201179465513,14556345
2010-01-20,72.55333709716797,73.05466509412406,71.82919715104289,72.67031525973569,15896585
2010-01-21,71.85704040527344,72.79842669443538,71.33343259488346,72.6758785777451,10050596
2010-01-22,69.9074478149414,71.7957818759161,69.83503381128955,71.67323817802351,10552676
2010-01-25,70.25279998779297,70.68171399515651,70.02441362531599,70.3697737064262,6002471
2010-01-26,70.04666900634766,71.16072830517923,69.8572769251605,70.14136282429035,7463524
2010-01-27,70.36976623535156,70.7206962446006,69.6511963224376,70.08568024906916,9120283
2010-01-28,68.93264770507812,70.76528227006143,68.542727821733,70.7597123035354,10064821
2010-01-29,68.1750717163086,69.62892608271088,67.90213006723198,69.25014619710552,12103475
2010-02-01,69.4450912475586,69.60106359118572,68.3923057112187,68.64296745238913,7576073
2010-02-02,69.92415618896484,70.08012412492258,69.04404823227192,69.51195204014512,6171295
2010-02-03,69.99655151367188,70.22493339076338,69.66790583173378,69.71803551150566,4369247
2010-02-04,68.51486206054688,69.87401812588776,68.45915795931813,69.7347600954678,9546737
2010-02-05,68.80453491210938,68.9159431418658,67.86315270735653,68.53716316224269,9013382
2010-02-08,68.19462585449219,68.94438849751822,68.11629311047233,68.9052198929157,5981551
2010-02-09,68.93879699707031,69.49272557458545,68.51915440593372,68.62546154045857,6322547
2010-02-10,68.7149887084961,69.18498519700579,68.37927374157101,68.78772657923108,5459179
2010-02-11,69.22974395751953,69.49272103576699,68.29534145641799,68.5862929195066,5323094
2010-02-12,69.38081359863281,69.40878798308393,68.04355318335358,68.82688506502033,8386514
2010-02-16,70.0690689086914,70.0690689086914,69.44240214541747,69.89001934838986,7089056
2010-02-17,70.68453979492188,70.79644632564408,70.05787751147771,70.2201379623561,6095460
2010-02-18,71.51262664794922,71.61893382012948,70.49989097923748,70.57262887552513,5780091
2010-02-19,71.16571807861328,71.65250380987972,70.98667301951917,71.25524060816034,6593043
2010-02-22,70.97547912597656,71.3000044367239,70.67333779661004,71.22726654390652,3983273
2010-02-23,70.75727081298828,71.42870100159097,70.49989296167985,70.76846503712093,4803127
2010-02-24,71.38951110839844,71.76998959029908,70.95308384844104,71.0705852127318,5001972
2010-02-25,71.09856414794922,71.19368154191349,70.25927884120284,70.52785085379145,5919000
2010-02-26,71.14892578125,71.61892235965962,70.91392749204519,71.06499813976158,5004273
2010-03-01,71.93785095214844,72.0833267177978,71.32237415468549,71.33915878952514,4788274
2010-03-02,71.29439544677734,72.22879811036518,71.13213505611236,72.01058447510285,6289912
2010-03-03,70.99226379394531,71.63012015231399,70.88035728959157,71.46785527448242,6683940
2010-03-04,70.90270233154297,71.09853638635437,70.20330264753252,71.09853638635437,6309786
2010-03-05,71.19927978515625,71.36713505783754,71.08177841516773,71.15451629535443,6422649
2010-03-08,70.72929382324219,71.33917138491691,70.70131942690371,71.09298330157733,6484468
2010-03-09,70.24809265136719,70.66214044759813,70.05226297533297,70.65095069070318,7875125
2010-03-10,70.28727722167969,70.70132511190411,70.05787375769718,70.4943011667919,7234345
2010-03-11,71.39510345458984,71.5126048147141,70.33760460902847,70.33760460902847,8286621
2010-03-12,71.5853271484375,71.82592022887764,71.34473406799735,71.5685425192594,5407297
2010-03-15,71.52379608154297,71.80915270628789,71.21605994589594,71.28320294378801,4704594
2010-03-16,71.99382019042969,72.11131712559028,71.31120023680761,71.61893647129621,6417105
2010-03-17,71.48462677001953,72.13926760325569,71.26081381643431,72.12248297129241,6640426
2010-03-18,71.83155822753906,72.03858217390462,71.31120315434312,71.31679803409457,5182302
2010-03-19,71.4566650390625,72.13928488764347,70.9363100672276,71.4566650390625,11238538
2010-03-22,71.60770416259766,71.8371119474554,70.8187775016442,71.12091867707647,5911887
2010-03-23,72.38545227050781,72.41902599807504,71.41748049108509,71.58533573336562,6253511
2010-03-24,71.91545867919922,72.7099803710203,71.88188495029065,71.97140745207118,6976088
2010-03-25,72.3127212524414,73.14641159611205,72.25117313372643,72.37986424874997,7952947
2010-03-26,72.32392883300781,72.614880400326,72.02178750774458,72.13928889654105,5806137
2010-03-29,71.94904327392578,72.70999586416853,71.76439888854787,72.34630643707841,4856578
